Cases_CaseNumber,Products_ProductID,Products_Department,CaseTasks_Department
450210,CRNBRUX,C&B,Outsource Design full contour
450210,INFCONT,MISC,CAD Mill crown/coping
450210,CRNBRUX,C&B,Scan for crowns
450210,INFCONT,MISC,Die Trim
450210,CRNBRUX,C&B,SCHEDULING
450210,INFCONT,MISC,FIXED MODELS
450210,CRNBRUX,C&B,Sinter
450210,INFCONT,MISC,Invoice and Ship
450210,CRNBRUX,C&B,Stain & Glaze
450210,INFCONT,MISC,Outsource Design full contour
450210,INFCONT,MISC,Brux Porcelain
450210,INFCONT,MISC,Scan for crowns
450210,INFCONT,MISC,C&B
450210,INFCONT,MISC,SCHEDULING
450210,INFCONT,MISC,FIXED QC
450210,INFCONT,MISC,Stain & Glaze
450210,INFCONT,MISC,Sinter
450001,BIOSR,IMPLANTS,Brux Porcelain
450001,BIOSR,IMPLANTS,Die Trim
450001,BIOSR,IMPLANTS,C&B
450001,BIOSR,IMPLANTS,FIXED MODELS
450001,BIOSR,IMPLANTS,CAD Mill crown/coping
450001,BIOSR,IMPLANTS,Impl Eval/Set TA
450001,BIOSR,IMPLANTS,Fixed QC
450001,BIOSR,IMPLANTS,Outsource Design full contour
450001,BIOSR,IMPLANTS,Invoice and Ship
450001,BIOSR,IMPLANTS,Tissue Trim
450001,BIOSR,IMPLANTS,Scan Abutments
450001,CRNBRUX,C&B,Brux Porcelain
450001,BIOSR,IMPLANTS,Scan for crowns
450001,CRNBRUX,C&B,FIXED MODELS
450001,BIOSR,IMPLANTS,SCHEDULING
450001,CRNBRUX,C&B,Invoice and Ship
450001,BIOSR,IMPLANTS,Sinter
450001,CRNBRUX,C&B,Outsource Design full contour
450001,BIOSR,IMPLANTS,Stain & Glaze
450001,CRNBRUX,C&B,Scan Abutments
450001,CRNBRUX,C&B,C&B
450001,CRNBRUX,C&B,Sinter
450001,CRNBRUX,C&B,CAD Mill crown/coping
450001,CRNBRUX,C&B,Stain & Glaze
450001,CRNBRUX,C&B,Die Trim
450001,CRNBRUX,C&B,Tissue Trim
450001,CRNBRUX,C&B,Fixed QC
450001,GENANA,IMPLANTS,C&B
450001,CRNBRUX,C&B,Impl Eval/Set TA
450001,GENANA,IMPLANTS,CAD Mill crown/coping
450001,CRNBRUX,C&B,Scan for crowns
450001,GENANA,IMPLANTS,Die Trim
450001,CRNBRUX,C&B,SCHEDULING
450001,GENANA,IMPLANTS,FIXED MODELS
450001,GENANA,IMPLANTS,Brux Porcelain
450001,GENANA,IMPLANTS,Impl Eval/Set TA
450001,GENANA,IMPLANTS,Fixed QC
450001,GENANA,IMPLANTS,Invoice and Ship
450001,GENANA,IMPLANTS,Scan Abutments
450001,GENANA,IMPLANTS,Outsource Design full contour
450001,GENANA,IMPLANTS,Sinter
450001,GENANA,IMPLANTS,Scan for crowns
450001,GENANA,IMPLANTS,Tissue Trim
450001,GENANA,IMPLANTS,SCHEDULING
450001,GENANA,IMPLANTS,Stain & Glaze
450389,CRNEZZ,C&B,C&B
450389,CRNEZZ,C&B,Brux Porcelain
450389,CRNEZZ,C&B,CAD Mill crown/coping
450389,CRNEZZ,C&B,Die Trim
450389,CRNEZZ,C&B,FIXED MODELS
450389,CRNEZZ,C&B,Fixed QC
450389,CRNEZZ,C&B,Invoice and Ship
450389,CRNEZZ,C&B,Outsource Design full contour
450389,CRNEZZ,C&B,Scan for crowns
450389,CRNEZZ,C&B,SCHEDULING
450389,CRNEZZ,C&B,Sinter
450389,CRNEZZ,C&B,Stain & Glaze
450519,DENDRCALLR,Removables,REMQC
450519,DENDRCALLR,Removables,BUSOFF
450519,DENDRCALLR,Removables,SCHEDULING
450519,DENDRCALLR,Removables,Removables
450519,DENEVALREM,Removables,BUSOFF
450519,DENEVALREM,Removables,Removables
450519,DENEVALREM,Removables,REMQC
450519,INFCONT,MISC,BUSOFF
450519,DENEVALREM,Removables,SCHEDULING
450519,INFCONT,MISC,Removables
450519,INFCONT,MISC,REMQC
450519,INFCONT,MISC,SCHEDULING
449727,CRNEZZ,C&B,C&B
449727,CRNEZZ,C&B,Brux Porcelain
449727,CRNEZZ,C&B,CAD Mill crown/coping
449727,CRNEZZ,C&B,Die Trim
449727,CRNEZZ,C&B,FIXED MODELS
449727,CRNEZZ,C&B,Fixed QC
449727,CRNEZZ,C&B,IMPLANTS
449727,CRNEZZ,C&B,Scan for crowns
